id,dimension,hallazgo,magnitud,unidad,porcentaje,severidad,estado,accion
ETI-03,Etiquetas,patient_overall = 1 sin ningún nivel C1–C7 marcado,0,estudios,0.0,baja,sin_hallazgos,No corregir: refleja incertidumbre diagnóstica del informe radiológico original. Documentar y decidir explícitamente si se excluyen de la tarea por nivel.
ETI-04,Etiquetas,Nivel C1–C7 marcado con patient_overall = 0,0,estudios,0.0,baja,sin_hallazgos,"Este sentido sí sería contradictorio; si aparece, escalar a revisión manual."
ETI-05,Etiquetas,Inconsistencia total patient_overall vs OR(C1–C7),0,estudios,0.0,baja,sin_hallazgos,Resumen de ETI-03 y ETI-04.
INT-01,Integridad,Estudios de train.csv sin fila en la tabla de metadatos,0,estudios,0.0,baja,sin_hallazgos,Indica fallos de lectura DICOM o carpetas ausentes; revisar la lista de errores de construir_tabla().
INT-02,Integridad,Estudios con metadatos que no están en train.csv,0,estudios,0.0,baja,sin_hallazgos,Normalmente son carpetas de test mezcladas; excluirlas antes de cruzar con la etiqueta.
INT-03,Integridad,Estudios de train.csv sin carpeta de imágenes,0,estudios,0.0,baja,sin_hallazgos,Un estudio sin píxeles no es utilizable; excluirlo y reportar la exclusión.
MET-01,Metadatos DICOM,Estudios con huecos en la numeración de cortes,0,estudios,0.0,baja,sin_hallazgos,El nombre del archivo es InstanceNumber; un hueco significa que la pila no es contigua. No apilar por nombre: ordenar por ImagePositionPatient[2].
MET-03,Metadatos DICOM,Estudios sin ImagePositionPatient legible,0,estudios,0.0,baja,sin_hallazgos,Sin posición z no se puede garantizar el orden anatómico; usar InstanceNumber solo como respaldo declarado.
MET-08,Metadatos DICOM,Número de cortes atípico por IQR (rango 69–1082),27,estudios,1.34,baja,detectado,"Variabilidad de protocolo, no error. Condiciona la memoria del pipeline: el estudio más largo define el peor caso de carga."
ANO-02,Anotación espacial,Casos positivos con bounding box,235,estudios positivos,24.45,informativa,informativo,Techo de datos disponible para entrenar una etapa de localización supervisada.
ANO-05,Anotación espacial,"Cajas por estudio anotado (mediana 24, máx 167)",7217,cajas,,informativa,informativo,Una fractura se anota en varios cortes consecutivos: contar cajas sobreestima el número de lesiones independientes.
ETI-06,Etiquetas,Prevalencia de patient_overall = 1,961,estudios,47.6,informativa,informativo,Determina si el desbalance obliga a ponderar la pérdida; también es la variable de estratificación.
